Campaign_Name,Platform,Impressions,Clicks,Spend,Conversions,Status
Summer_Splash_Promo,Instagram,45000,1200,850.50,140,Active
Tech_Gadget_Launch_v2,Facebook,32000,800,900.00,45,Active
B2B_Lead_Gen_Q3,LinkedIn,15000,150,1200.00,12,Active
Viral_Video_Challenge,TikTok,120000,5000,600.00,350,Active
Retargeting_Abandoned_Cart,Google Ads,25000,950,450.00,110,Active
Brand_Awareness_General,Programmatic,60000,300,500.00,5,Paused
Holiday_Early_Bird,Email,18000,2200,150.00,180,Active
Competitor_Conquesting,Google Ads,12000,400,800.00,30,Active
Lookalike_Audience_1pc,Facebook,28000,750,550.00,65,Active
Influencer_Collab_Mega,Instagram,55000,1800,1100.00,210,Active
Spring_Sale_Countdown,Google Ads,40000,1300,700.00,95,Active
New_Product_Teaser,YouTube,35000,600,400.00,25,Paused
Flash_Sale_48hr,Email,22000,2700,200.00,220,Active
Local_Event_Promo,Facebook,15000,350,300.00,40,Active
Customer_Loyalty_Program,Instagram,30000,900,650.00,80,Active
Winter_Clearance_Event,Google Ads,50000,1600,750.00,130,Active
App_Install_Campaign,Facebook,40000,1100,950.00,55,Active
New_Store_Opening,Google Ads,20000,500,400.00,20,Paused
Sustainability_Initiative,LinkedIn,10000,120,600.00,8,Active
Back_to_School_Special,TikTok,80000,2500,550.00,300,Active
Holiday_Gift_Guide,Programmatic,70000,400,650.00,15,Paused
Winter_Holiday_Blast,Email,25000,3000,250.00,260,Active
Valentine_Day_Special,Instagram,38000,1100,720.00,125,Active
Mother_Day_Campaign,Facebook,42000,950,680.00,85,Active
Father_Day_Deals,Google Ads,35000,890,590.00,70,Active
Student_Discount_Program,TikTok,95000,3200,480.00,280,Active
Premium_Membership_Drive,LinkedIn,18000,200,950.00,18,Active
Cyber_Monday_Blowout,Email,30000,3500,280.00,310,Active
Black_Friday_Preview,Google Ads,65000,2100,820.00,175,Active
Autumn_Collection_Launch,Instagram,48000,1400,780.00,155,Active
Referral_Reward_Program,Facebook,25000,680,420.00,92,Active
Mobile_App_Exclusive,TikTok,110000,4200,650.00,385,Active
Partner_Co_Marketing,LinkedIn,12000,140,850.00,15,Active
Year_End_Clearance,Programmatic,55000,350,580.00,12,Paused
VIP_Early_Access,Email,16000,1900,180.00,165,Active
Product_Bundle_Offer,Google Ads,44000,1250,670.00,105,Active
Social_Cause_Campaign,Instagram,52000,1600,890.00,190,Active
Seasonal_Recipe_Content,Facebook,29000,720,510.00,68,Active
Gaming_Community_Outreach,TikTok,130000,5500,720.00,420,Active
Webinar_Registration_Drive,LinkedIn,14000,180,780.00,22,Active
Newsletter_Signup_Boost,Email,21000,2400,160.00,195,Active
Store_Locator_Campaign,Google Ads,33000,980,540.00,88,Active
User_Generated_Content,Instagram,61000,1950,950.00,225,Active
Podcast_Sponsorship,Programmatic,48000,280,620.00,8,Paused
Limited_Edition_Drop,TikTok,105000,4800,690.00,395,Active
Industry_Thought_Leadership,LinkedIn,11000,110,720.00,9,Active
Testimonial_Showcase,Facebook,36000,840,480.00,72,Active
Milestone_Celebration,Instagram,44000,1300,710.00,145,Active
Free_Shipping_Weekend,Google Ads,58000,1850,790.00,160,Active
Summer_Travel_Guide,Email,19000,2100,170.00,172,Active
Fitness_Challenge_Series,TikTok,88000,3100,570.00,315,Active
Birthday_Club_Launch,Instagram,27000,820,590.00,95,Active
Corporate_Gifting_B2B,LinkedIn,16000,165,890.00,14,Active
